id;first_name;last_name;email;phone_number;start_date;end_date;salary
1;Maria Clara;Moraes;MariaJulia.Moreira@live.com;uh-huh true;2025-01-03;2025-01-02;402.69
2;Júlio César;Nogueira;Roberta.Braga9@hotmail.com;minister cautiously;2025-01-02;2025-01-03;26725.62
3;Giovanna;Carvalho;MariaAlice_Macedo@hotmail.com;approximate which;2025-01-02;2025-01-03;14046.64
4;Hugo;Pereira;Igor59@live.com;and;2025-01-03;2025-01-03;30698.01
5;Carla;Carvalho;Isabela66@hotmail.com;deck;2025-01-03;2025-01-03;22352.01
6;Margarida;Moreira;Enzo42@yahoo.com;excitable profitable mountain;2025-01-03;2025-01-03;21359.87
7;Bernardo;Nogueira;Enzo36@yahoo.com;physically heroine;2025-01-02;2025-01-03;900.2
8;Murilo;Moreira;Miguel_Moraes57@yahoo.com;boo adaptation;2025-01-03;2025-01-03;2778.72
9;Théo;Souza;AnaLuiza_Martins57@live.com;likewise psst;2025-01-02;2025-01-03;16897.53
10;Carlos;Pereira;Vicente.Costa@hotmail.com;barring carp;2025-01-03;2025-01-03;32129.4
